,over_under_line,offensive_defensive_rank_diff,offensive_offensive_rank_dif,offense_defense_passing_completion,offense_rushing_vs_defense_rushing_allowed_yards,defense_offense_rank_dif,QB_rating,beat_spread,target_spread
70,41.0,-14,-21,0.011406437253894895,0.9650735294117648,-6,76.6,0,-3.0
71,40.0,6,-1,-0.041736820443746166,0.8686755952380952,1,88.0,1,-7.5
72,45.0,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,0,3.0
73,48.5,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,1,7.0
74,40.0,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,0,7.5
75,51.5,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,0,13.5
76,44.5,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,0,7.0
77,43.5,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,1,4.0
78,48.5,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,1,3.5
79,41.0,7,0,0.11200692217641373,0.7604895104895105,-7,102.0,1,3.0
80,48.5,-4,-11,0.05561469108509165,0.7966269841269842,-4,87.8,0,-7.0
81,44.5,16,9,-0.042592780540613766,0.9038339670468948,4,99.2,1,-7.0
82,45.0,11,4,0.006030597346537103,0.831782464846981,-20,94.5,1,-3.0
83,48.5,4,-3,0.03939385695241726,0.8215497737556562,-18,85.6,0,-3.5
84,47.5,12,9,0.1142887250702136,0.8331355328744362,2,101.9,0,-7.0
85,43.5,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,1,1.0
86,43.0,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,0,-1.0
87,41.5,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,0,-3.5
88,42.0,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,1,2.5
89,47.5,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,0,7.0
90,41.0,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,0,4.5
91,48.5,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,0,1.0
92,46.0,3,0,0.1006166527222585,1.0859081978924807,-3,95.6,0,-2.0
93,41.5,1,-2,0.014627615380598202,0.9456856702619414,-19,88.1,1,3.5
94,42.0,4,1,0.03977326946199211,0.9476461038961036,3,88.0,0,-2.5
95,46.0,5,2,0.20659449074434666,0.8296249205340114,-5,102.0,1,2.0
96,41.0,6,3,0.1370186009955463,1.0654712260216843,9,95.4,1,-4.5
97,48.5,2,-1,0.12780494122980302,0.8962361168243521,-16,85.6,1,-1.0
98,43.5,-12,-15,0.0769177988198162,0.9883720930232556,-7,88.9,0,-1.0
99,43.0,-13,-16,0.07681605882937513,0.9097035040431266,-15,85.5,0,1.0
100,49.0,25,10,0.03190141470225072,0.8146214099216711,3,101.9,0,-9.5
101,44.0,-3,-18,0.016295569912321062,1.0294117647058825,-3,76.6,0,3.0
102,47.0,17,2,-0.03710458197465305,0.9265873015873016,4,88.0,0,-3.0
103,45.5,18,3,0.11738235697626552,0.8111888111888113,-4,102.0,1,3.0
104,56.0,7,-8,0.06071752617768955,0.8497354497354498,-1,87.8,1,3.0
105,46.0,27,12,-0.03796467977750096,0.9640895648500212,7,99.2,1,-2.5
106,51.0,22,7,0.010893743227057495,0.8872346291701131,-17,94.5,0,-3.5
107,56.0,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,0,-3.0
108,47.0,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,1,3.0
109,45.5,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,0,-3.0
110,46.0,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,0,2.5
111,44.0,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,1,-3.0
112,47.0,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,0,3.0
113,49.0,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,1,9.5
114,51.0,15,0,0.04441828062999576,0.8763197586726998,-15,85.6,1,3.5
115,47.0,10,-5,0.06767654051275462,0.8380414312617703,-10,95.1,1,-3.0
116,48.0,24,25,0.012763454954124455,0.9399477806788512,18,101.9,1,-14.5
117,43.0,5,6,-0.08805283068555314,0.9403520208604954,20,85.3,1,-3.5
118,41.5,13,14,-0.07781731419747663,1.0669274228596264,-3,88.1,1,-3.0
119,43.0,16,17,-0.054962735369220916,1.069139194139194,19,88.0,1,-8.0
120,40.5,7,8,-0.08044414496235319,1.2183713722175258,2,84.2,0,-3.0
121,41.0,-3,-2,-0.03941916189240802,1.031713900134953,-1,84.0,1,1.0
122,50.0,19,20,0.08745000540482127,0.9629916682813408,-4,100.6,0,-6.5
